Combinations,Absolute Error,Root Mean Square Error
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.6717126238389912,0.4511978490246621
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.719504982350297,0.5176874196269012
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.6601806957715344,0.43583855106938724
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7241694638511519,0.5244214123744648
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7180858221994554,0.5156472480438679
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.6771247036352439,0.4584978642731169
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7232243825569078,0.5230535075248205
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7224953055846025,0.5219994665917882
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7195610368687766,0.5177680857796688
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.6671808665141263,0.44513030864254044
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7255152149507906,0.526372327125092
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7235087970899614,0.5234649794665629
"['SJR', 'H-index', 'Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7225069385592956,0.5220162762663257
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7216530190167467,0.520783079855985
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.6726086303190199,0.4524023695796279
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7260201001986876,0.5271051858925123
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7249193831938309,0.5255081121301242
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7250118812086508,0.5256422278937067
"['SJR', 'H-index', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7253476883154734,0.5261292689446011
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7264654415825975,0.5277520378137984
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7123065490771029,0.5073806198581312
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7243407151612435,0.5246694716403018
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7238934973132622,0.524021795452426
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7229943813372044,0.5227208754451669
"['SJR', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7237059690776119,0.5237503296785653
"['SJR', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725029410669129,0.5256676463352244
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7195705931814008,0.517781838571433
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.6698437654006745,0.4486906700461538
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7245097842929421,0.5249144275362055
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7234999474928847,0.5234521740222069
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7228485416813374,0.5225100142108362
"['H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7237189513563338,0.5237691205523114
"['H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7250607541349665,0.5257130971867664
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7236341074766248,0.5236463215034914
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7195705931814008,0.517781838571433
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.6698437654006745,0.4486906700461538
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7245097842929421,0.5249144275362055
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7234999474928847,0.5234521740222069
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7228485416813374,0.5225100142108362
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7237189513563338,0.5237691205523114
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7250607541349665,0.5257130971867664
"['SJR', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7236341074766248,0.5236463215034914
"['H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7237383548070001,0.5237972062187431
