Combinations,Absolute Error,Root Mean Square Error
"['H-index', 'Total Docs', 'Citable Docs-3 yrs', 'ref/docs']",0.6643794509925829,0.4414000549012059
"['H-index', 'Total Docs', 'cites,doc 2 yrs', 'ref/docs']",0.7214469708364071,0.5204857317290276
"['H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs']",0.664625026672455,0.4417264260793616
"['H-index', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs']",0.6576849378615889,0.43254947749000205
"['H-index', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs']",0.7225382773962694,0.5220615623027683
"['H-index', 'Total Docs-3yrs', 'Total refs', 'ref/docs']",0.6676322575827549,0.445732831365046
"['H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.69313215705427,0.4804321871427052
"['H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7214164744262742,0.5204417295736351
"['H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'ref/docs']",0.7005835902563826,0.490817366936523
"['H-index', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7214495495818024,0.5204894525917856
"['H-index', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.6964474744437231,0.4850390846590404
"['H-index', 'Total Docs-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7247377663345757,0.52524482995163
"['H-index', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6602952141453728,0.4359897698232838
"['H-index', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7169397097054342,0.5140025473525123
"['H-index', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7092534924058556,0.503040516489903
"['H-index', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7218545874400233,0.5210740454082062
"['H-index', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.6637229944907163,0.44052821341572335
"['H-index', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7221332918514565,0.5214764912002208
"['H-index', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7213463639460806,0.5203405767782314
"['H-index', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7008714971347937,0.4912208554959671
"['H-index', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7250133333602753,0.5256443335501777
"['H-index', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7246776841908836,0.5251577459642621
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs']",0.729197392895958,0.5317288378062621
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs']",0.7217196603859242,0.5208792681875737
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs']",0.7269978803571693,0.528525918043817
"['Total Docs', 'Total Docs-3yrs', 'Total refs', 'ref/docs']",0.7185267198762073,0.5162806471760617
"['Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7119004379410135,0.5068022335406068
"['Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.724563433688254,0.5249921694381129
"['Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs', 'ref/docs']",0.7143331644935864,0.5102718698954212
"['Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7242009245982324,0.5244669791889347
"['Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7095526797693964,0.5034650053679316
"['Total Docs', 'Total Docs-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7234357117276636,0.5233592290029112
"['Total Docs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7217001175033121,0.5208510596042945
"['Total Docs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.719219856050858,0.517277201337817
"['Total Docs', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7468250968371091,0.5577477252657573
"['Total Docs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7264611221445265,0.5277457619874847
"['Total Docs', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.71362463546462,0.5092601203420117
"['Total Docs', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7219976834426769,0.5212806548965919
"['Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.724035717993424,0.524227720930253
"['Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.7087957732518757,0.5023914481797244
"['Total Docs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7245595279833302,0.5249865095914263
"['Total Docs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7229324664523392,0.5226313510508626
"['Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.7361936718544895,0.5419811224785958
"['Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7297931485929545,0.5325980397332182
"['Total Docs-3yrs', 'Total refs', 'Total cites-3yrs', 'ref/docs']",0.7267779705486992,0.5282062184748859
"['Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7290851986867445,0.5315652269440897
"['Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs', 'ref/docs']",0.7238140232516936,0.5239067402558033
"['Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs', 'ref/docs']",0.7260744634529503,0.5271841264784898
"['Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.725,0.525625
"['Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.725,0.525625
"['Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['Total Docs-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.729628365751117,0.5323575521086458
"['Total refs', 'Total cites-3yrs', 'Citable Docs-3 yrs', 'ref/docs']",0.721529332674228,0.5206045779093168
"['Total refs', 'Total cites-3yrs', 'cites,doc 2 yrs', 'ref/docs']",0.7261401442296231,0.5272795090618179
"['Total refs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725741843635521,0.5267012236034849
"['Total cites-3yrs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs', 'ref/docs']",0.725,0.525625
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total refs']",0.6551813238713337,0.4292625671497934
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Total cites-3yrs']",0.6633561590200152,0.44004139370978773
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'Citable Docs-3 yrs']",0.6598657064088262,0.43542275049441925
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'cites,doc 2 yrs']",0.7185231482603708,0.5162755145859947
"['SJR', 'H-index', 'Total Docs', 'Total Docs-3yrs', 'ref/docs']",0.668037784797501,0.44627448191715224
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'Total cites-3yrs']",0.6939111315186345,0.48151265844547164
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'Citable Docs-3 yrs']",0.6504062415839107,0.4230282790913084
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'cites,doc 2 yrs']",0.7180535655853842,0.5156009230498837
"['SJR', 'H-index', 'Total Docs', 'Total refs', 'ref/docs']",0.6944246658522967,0.48222561654407387
"['SJR', 'H-index', 'Total Docs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.6595076601580954,0.4349503538072058
"['SJR', 'H-index', 'Total Docs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.714629738842973,0.5106956636387757
"['SJR', 'H-index', 'Total Docs', 'Total cites-3yrs', 'ref/docs']",0.7120219072623375,0.5069751964214967
"['SJR', 'H-index', 'Total Docs', 'Citable Docs-3 yrs', 'cites,doc 2 yrs']",0.7177164943144941,0.5151169662110873
"['SJR', 'H-index', 'Total Docs', 'Citable Docs-3 yrs', 'ref/docs']",0.6643794509925829,0.4414000549012059
"['SJR', 'H-index', 'Total Docs', 'cites,doc 2 yrs', 'ref/docs']",0.7214469708364071,0.5204857317290276
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'Total cites-3yrs']",0.664625026672455,0.4417264260793616
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'Citable Docs-3 yrs']",0.6576849378615889,0.43254947749000205
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'cites,doc 2 yrs']",0.7225382773962694,0.5220615623027683
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total refs', 'ref/docs']",0.6676322575827549,0.445732831365046
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'Citable Docs-3 yrs']",0.69313215705427,0.4804321871427052
"['SJR', 'H-index', 'Total Docs-3yrs', 'Total cites-3yrs', 'cites,doc 2 yrs']",0.7214164744262742,0.5204417295736351
